DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
Milpitas Unified,43,73387,"105,122,428","10,072.30","10,437",Unified                  ,892,508,450,5,455,89.57,398,5,403,79.33,391,76.97,30.94,4,1.95,254.22,11,77.55,39.42,0,0,121.01,0,44.2,28.65,5.95,140.75,33.6,2
Modoc Joint Unified,25,73585,"8,547,131",802.5,"10,651",Unified                  ,61,15,11,0,11,73.33,8,0,8,53.33,8,53.33,4,1,0,29.63,0.5,9.22,3.87,0,0,20.1,0,6.28,3.8,1,15.2,0,0
Mojave Unified,15,63677,"31,764,145","2,599.40","12,220",Unified                  ,173,40,32,0,32,80,14,0,14,35,14,35,16.25,1,1,78.48,3.03,38.66,10.5,0,0,108.35,0,14.07,7.3,1,37.76,7,4.75
Monrovia Unified,19,64790,"65,698,156","5,271.20","12,464",Unified                  ,476,215,174,0,174,80.93,121,0,121,56.28,118,54.88,33,5.5,4.8,132.2,14,82.5,21.83,0,0,93.32,0,27.15,14.5,5.13,78.1,16.5,1.33
Montebello Unified,19,64808,"304,831,677","24,987.00","12,200",Unified                  ,2482,1899,823,0,823,43.34,413,0,413,21.75,372,19.59,114,5,13,563.71,82.88,233.63,92.56,0,0,607.81,0,165.19,61.8,20,359.29,80.54,0.33
Monterey Peninsula Unified,27,66092,"113,122,246","9,063.30","12,481",Unified                  ,785,388,256,0,256,65.98,172,0,172,44.33,161,41.49,37,6,5,299.16,64.3,171.35,59,0,0,261.9,0,55.78,34.9,10,169.01,14.93,0
Moorpark Unified,56,73940,"60,094,659","6,017.00","9,988",Unified                  ,564,215,200,0,200,93.02,155,0,155,72.09,151,70.23,30.47,3,7,152.25,21.2,77.9,24,0,0,133.93,0,41.12,16.75,5.3,87.2,21.3,14.17
Moreno Valley Unified,33,67124,"382,459,183","31,027.70","12,326",Unified                  ,2594,2172,812,0,812,37.38,348,0,348,16.02,304,14,103.75,7,30.4,794.9,135.31,368.81,124.32,0,0,665.09,0,162.17,97.5,28.2,433.28,57.25,5
Morgan Hill Unified,43,69583,"83,858,234","7,995.40","10,488",Unified                  ,692,388,329,0,329,84.79,264,0,264,68.04,255,65.72,39.25,2.99,3.49,231.1,22.2,63.74,35.32,1.8,0,139.98,0,49.91,21.7,5.78,121.33,12.89,11.51
Morongo Unified,36,67777,"94,350,599","7,982.20","11,820",Unified                  ,585,177,140,0,140,79.1,103,0,103,58.19,97,54.8,34.66,3,3.05,219.06,29.56,107.12,33.46,0,0,147.45,0,49.74,38.18,5.05,99.51,27.85,0
Mountain Empire Unified,37,68213,"22,334,790","1,554.10","14,371",Unified                  ,385,59,41,0,41,69.49,21,0,21,35.59,20,33.9,8.75,1,3,73.52,18.4,41.95,8.84,0,0,65.17,0,37.9,19.1,1.9,68.86,15.22,26.15
Mountain View-Los Altos Union High,43,69609,"83,701,897","4,093.60","20,447",High                     ,1040,632,594,2,596,94.3,558,2,560,88.61,551,87.18,12,3,0,0.54,4.17,32.16,0,1.9,0,56.13,0,28.9,8.6,16,218.52,5.6,1.97
Mt. Diablo Unified,7,61754,"366,514,703","29,707.50","12,337",Unified                  ,2263,790,635,1,636,80.51,488,1,489,61.9,471,59.62,106.4,10,34.7,856.42,48.3,414.25,128.47,0,0,395.76,0,144.1,86.44,20.1,401.79,132.03,24.7
Muroc Joint Unified,15,63685,"20,481,672","1,695.30","12,081",Unified                  ,111,51,40,0,40,78.43,27,0,27,52.94,26,50.98,7,2,2,54.25,6.7,19.47,9,0,0,43.8,0,12,4,3,30.55,8,0
Murrieta Valley Unified,33,75200,"228,213,079","21,995.50","10,375",Unified                  ,2074,1228,1004,1,1005,81.84,648,1,649,52.85,628,51.14,45.25,9.7,14.17,487.28,65.22,310.47,58.46,0,0,316.9,0,110.39,45.9,17,325.67,66.9,8.87
Napa Valley Unified,28,66266,"176,807,038","15,927.70","11,101",Unified                  ,1486,667,514,0,514,77.06,350,0,350,52.47,338,50.67,55.13,14.5,11.65,456.04,43.69,274.41,65.53,0,0,256.72,0,93.33,48.6,13,267.66,114.17,4
Natomas Unified,34,75283,"104,831,329","9,376.20","11,181",Unified                  ,1117,614,462,0,462,75.24,271,0,271,44.14,259,42.18,34,9,6,328.13,88.39,117.55,49.25,0,0,223.25,0,71.39,33.8,12,186.84,46.14,8.99
Needles Unified,36,67801,"11,900,514",902.8,"13,182",Unified                  ,64,22,15,0,15,68.18,7,0,7,31.82,7,31.82,4.5,1,0,27.14,0,14.72,4.33,0,0,24.06,0,4.38,3,1,12.53,5.8,0
Nevada Joint Union High,29,66357,"34,481,769","2,381.30","14,480",High                     ,706,251,233,0,233,92.83,181,0,181,72.11,179,71.31,12.46,2,0,0,9.2,34.37,0,0,0,57.64,0,31.92,8.9,6,141.48,9.3,0
New Jerusalem Elementary,39,68627,"3,225,630",22,"146,553",Elementary               ,578,70,53,1,54,77.14,29,1,30,42.86,30,42.86,8.44,4,0,84.25,11.46,39.48,8.76,0,0,49.93,0,43.51,17.43,0,88.59,20.99,0
Newark Unified,1,61234,"62,368,434","5,691.30","10,959",Unified                  ,462,203,167,0,167,82.27,107,0,107,52.71,102,50.25,23.73,2,1,116.03,23.3,41.77,19.5,1,0,107.14,0,24.71,20.65,4,63.76,16.5,3.16
Newman-Crows Landing Unified,50,73601,"33,439,764","3,020.90","11,069",Unified                  ,206,96,59,1,60,62.5,24,0,24,25,21,21.88,11.56,2,3,83.67,9,45.6,12,0,0,77.31,0,18.62,11,3,41.74,7,0
Newport-Mesa Unified,30,66597,"281,762,766","20,208.00","13,943",Unified                  ,1691,609,505,0,505,82.92,381,1,382,62.73,372,61.08,108.63,11,2,523.32,32.95,359.07,82.46,0,0,327.82,0,140.36,45.6,21.1,272.61,88,9.25
North Monterey County Unified,27,73825,"52,843,250","4,361.40","12,116",Unified                  ,352,118,72,0,72,61.02,34,0,34,28.81,31,26.27,13,5,1,115.38,25.35,27.67,21.45,0,0,151.25,0,18.44,15.5,6,65.32,13.2,1
Northern Humboldt Union High,12,62687,"18,874,310","1,382.80","13,649",High                     ,414,188,171,1,172,91.49,132,0,132,70.21,128,68.09,10,1,0,0.09,2.9,29.55,0,0,0,33.25,0,11.5,6.2,5.6,83.91,5.4,0
Norwalk-La Mirada Unified,19,64840,"214,889,189","17,163.90","12,520",Unified                  ,1335,1189,518,2,520,43.73,232,1,233,19.6,211,17.75,103.95,6,13.5,424.26,80.21,281.26,59.53,0,0,318.2,0,78.94,44.8,19.9,248.36,53.39,16.76
Novato Unified,21,65417,"84,771,103","7,283.80","11,638",Unified                  ,672,360,321,0,321,89.17,245,0,245,68.06,241,66.94,22.2,3,0,200.78,20.33,39.56,32.67,0,0,158.83,0,34.95,24.9,6.7,132.78,16.9,0.05
Oak Park Unified,56,73874,"42,742,731","4,411.30","9,689",Unified                  ,422,239,228,2,230,96.23,205,2,207,86.61,206,86.19,11,2,3.5,98.66,8.4,62.08,12.6,0,0,56.84,0,15.5,10,5.5,73.88,9.97,0
Oakdale Joint Unified,50,75564,"53,189,757","4,997.10","10,644",Unified                  ,433,136,113,0,113,83.09,79,0,79,58.09,74,54.41,18.25,2,1,126.17,6,55.84,20.25,0,0,105.17,0,23.63,15.75,3.9,76.79,10.9,0
Oakland Unified,1,61259,"504,800,324","34,840.90","14,489",Unified                  ,3315,2363,1176,0,1176,49.77,721,0,721,30.51,654,27.68,291.01,72,13.05,0,487.08,444.52,203.01,0,0,980.26,0,580.84,198.19,18.35,725.37,134.32,84.54
Oceanside Unified,37,73569,"206,363,504","16,940.90","12,181",Unified                  ,1470,491,376,2,378,76.99,293,2,295,60.08,275,56.01,56.56,6,7.95,536.92,110.23,207.1,83.37,0,0,447.21,0,75.3,47.5,14.6,236.01,82.3,10.8
Ojai Unified,56,72520,"25,211,825","2,294.90","10,986",Unified                  ,201,72,66,0,66,91.67,46,0,46,63.89,46,63.89,12.44,1,0,60.11,9.59,49.17,8.45,0,0,42.72,0,13.95,10.1,2,37.9,9.32,0.1
Orange Unified,30,66621,"276,530,475","24,783.00","11,158",Unified                  ,2310,2097,1194,1,1195,56.99,732,1,733,34.95,694,33.09,0,0,1.3,20.67,4,6,4.33,2.4,1,0,0,7.66,5,3,42.4,4.55,16.2
Orcutt Union Elementary,42,69260,"41,606,835","4,261.40","9,764",Elementary               ,138,76,63,0,63,82.89,47,0,47,61.84,44,57.89,20,1.85,2.75,158.47,8.91,37.7,22.59,0,0,86.84,0,19.38,12.05,0,27.75,10,0
Orland Joint Unified,11,75481,"22,937,549","2,122.10","10,809",Unified                  ,161,40,21,0,21,52.5,11,0,11,27.5,9,22.5,7,1,0,63,3,23.6,10,0,0,47.79,0,8.41,6,1,36.85,4,0
Oro Grande Elementary,36,67827,"5,184,465",96.8,"53,559",Elementary               ,612,66,41,0,41,62.12,22,0,22,33.33,20,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oroville Union High,4,61515,"24,746,702","1,941.40","12,747",High                     ,517,96,76,0,76,79.17,54,0,54,56.25,51,53.13,15,1,0,0,3.37,36,0,0,0,54,0,17.5,6.8,6.6,97.98,0,3
Oxnard Union High,56,72546,"181,624,515","15,299.00","11,872",High                     ,4190,1460,1042,0,1042,71.37,731,0,731,50.07,675,46.23,33.63,5.6,0,19.19,16.5,94.25,3,0,0,229.89,0,100.18,35,39,646.16,30.4,14.99
Pacific Grove Unified,27,66134,"31,257,569","1,978.50","15,798",Unified                  ,143,73,69,0,69,94.52,59,0,59,80.82,58,79.45,7.38,1,2.8,54.2,7.9,34.76,8,0,0,35.85,0,11.99,5,2,27.7,4.8,1
Pajaro Valley Unified,44,69799,"241,471,697","17,220.20","14,023",Unified                  ,1274,607,376,2,378,62.27,232,1,233,38.39,218,35.91,183,0,0,503.38,13.82,236,81.45,0,0,645,0,131,55.5,12,244.36,1,1
Palm Springs Unified,33,67173,"276,973,758","20,629.30","13,426",Unified                  ,1872,755,490,0,490,64.9,279,0,279,36.95,260,34.44,83.72,11,14,594.72,83.26,200.88,88,0,0,450.53,0,126.31,62,20.8,319.97,51.3,1
Palmdale Elementary,19,64857,"219,633,318","17,752.00","12,372",Elementary               ,355,174,126,0,126,72.41,61,0,61,35.06,60,34.48,100,21,5.5,710.32,110.62,217.87,93.89,0,0,333.91,0,127.18,76.75,0,91.65,89.15,19.26
Palo Alto Unified,43,69641,"242,777,901","11,738.40","20,682",Unified                  ,970,666,643,7,650,97.6,615,7,622,93.39,617,92.64,54.21,15.55,10.2,416.07,95.96,247.84,48.27,0,0,237.61,0,61.25,35.95,15,238.07,18.5,23.24
Palo Verde Unified,33,67181,"32,735,661","2,825.70","11,585",Unified                  ,231,59,34,0,34,57.63,17,0,17,28.81,15,25.42,13,4,0,69.63,2,50.5,11.37,0,0,76.75,0,14.25,9.7,3,45.77,6,0
Palos Verdes Peninsula Unified,19,64865,"121,294,765","10,985.30","11,042",Unified                  ,1094,588,568,1,569,96.77,531,1,532,90.48,525,89.29,26.4,4,6,246.51,39.58,230.83,34.5,0,0,166.2,0,50.93,23.8,14,173.81,39.4,2
Paradise Unified,4,61531,"36,369,662","3,229.40","11,262",Unified                  ,303,55,48,0,48,87.27,42,0,42,76.36,41,74.55,13.25,2,2,110.21,7,92.82,15.91,1,0,80.77,0,23.13,16.74,3.8,56.94,8,0
Paramount Unified,19,64873,"175,127,029","14,601.10","11,994",Unified                  ,1279,1205,404,0,404,33.53,190,0,190,15.77,172,14.27,40.58,5,23.5,373.92,120.93,151.08,57.5,0,0,258.93,0,75.74,36,16.97,199.63,24,0
Parlier Unified,10,62364,"40,881,944","3,265.30","12,520",Unified                  ,212,102,29,0,29,28.43,15,0,15,14.71,11,10.78,18,1,1,85.47,20.2,43.53,12.33,0,0,49.75,0,21.25,15,2.6,39.86,10,5.14
Pasadena Unified,19,64881,"213,394,907","16,002.70","13,335",Unified                  ,1485,609,424,0,424,69.62,278,0,278,45.65,261,42.86,110.75,9.7,5.5,417.36,145.69,419.88,70.35,2.5,0,346.92,0,133.62,46.6,10.5,212.82,33.3,54.67
Paso Robles Joint Unified,40,75457,"72,838,174","6,477.30","11,245",Unified                  ,573,208,164,0,164,78.85,120,0,120,57.69,113,54.33,17.41,1,3.4,156.28,29.1,117.99,22.86,1,0,139.83,0,29.44,19.43,5,102.16,26.5,9.5
Patterson Joint Unified,50,71217,"66,020,120","5,780.40","11,421",Unified                  ,491,197,131,0,131,66.5,78,0,78,39.59,70,35.53,17,3,2,160.65,16,79.13,20.45,0,0,89.34,0,29.38,15.95,5.75,89.21,16,1
Perris Union High,33,67207,"115,789,290","9,016.80","12,841",High                     ,2216,951,604,0,604,63.51,329,1,330,34.7,309,32.49,59.5,5,2.2,63.42,11.42,71.33,0,0,0,165.83,0,83.69,22.05,23.8,354.49,32.15,1
Piedmont City Unified,1,61275,"39,778,549","2,552.10","15,587",Unified                  ,209,134,128,0,128,95.52,119,0,119,88.81,117,87.31,14,2,3.6,79.08,5.6,70.43,9,0,0,30.89,0,13.67,9.1,4,52.03,12.17,0.4
Pierce Joint Unified,6,61614,"14,251,191","1,416.90","10,058",Unified                  ,107,36,20,0,20,55.56,14,0,14,38.89,13,36.11,5,1,0,38.75,2,5.38,5.5,0,0,29.4,0,31.63,5,1,22.22,0,3.03
Pittsburg Unified,7,61788,"133,625,755","10,863.80","12,300",Unified                  ,856,331,210,0,210,63.44,104,0,104,31.42,93,28.1,53,4,6,296.79,32.95,87.84,41.42,0,0,164.22,0,59.12,32.59,8.4,171.13,10.8,7.31
Placentia-Yorba Linda Unified,30,66647,"260,592,744","24,617.60","10,586",Unified                  ,2159,1061,955,4,959,90.39,853,4,857,80.77,832,78.42,66.47,9,5.6,540.83,95.45,278.53,89.58,0,0,275.76,0,104.6,60.2,13.8,344.8,80.2,2.37
Placer Union High,31,66894,"44,013,371","3,787.20","11,622",High                     ,994,489,442,0,442,90.39,359,0,359,73.42,350,71.57,15.53,4.5,0,0,7.17,27.67,0,0,0,76.46,0,27.56,15.74,8.55,173.07,12.3,2
Pleasanton Unified,1,75101,"152,605,107","14,415.20","10,586",Unified                  ,1259,822,787,8,795,96.72,737,8,745,90.63,736,89.54,35.75,5,13.5,359.4,38.67,114.04,43.17,0,0,213.22,0,49.16,33.7,14.8,215.81,57,6.42
Plumas Unified,32,66969,"25,085,207","1,698.20","14,772",Unified                  ,164,66,56,0,56,84.85,40,0,40,60.61,40,60.61,7.08,0,0,54.28,0.98,33.83,9.01,0,0,81.33,0,16.6,13.81,1,42.97,5.56,1.02
Pomona Unified,19,64907,"288,912,782","22,091.40","13,078",Unified                  ,1928,856,500,1,501,58.53,247,2,249,29.09,232,27.1,177.95,11,10.62,606.17,530.58,301.56,89.82,0,0,381.91,0,162.71,72.5,21,337.42,64.8,331.92
Porterville Unified,54,75523,"147,210,720","12,833.60","11,471",Unified                  ,1715,542,332,0,332,61.25,206,0,206,38.01,187,34.5,40.63,5,3,271.19,60.54,80.64,39.75,0,0,321.54,0,86.33,44.17,19.36,278.78,13.52,0.33
Poway Unified,37,68296,"358,868,032","35,144.50","10,211",Unified                  ,2735,1835,1723,8,1731,94.33,1536,6,1542,84.03,1512,82.4,84.11,10,20.96,859.69,35.65,383.8,137.93,0,0,689.58,0,117.41,70.9,24.3,432.07,191.6,28.3
Ramona City Unified,37,68304,"55,859,760","5,225.90","10,689",Unified                  ,442,167,144,0,144,86.23,97,0,97,58.08,94,56.29,19.49,2,1.7,123.98,3,73.8,19.34,0,0,131.64,0,40.55,12,2.9,67.09,13.7,1.1
Red Bluff Joint Union High,52,71639,"20,161,181","1,499.30","13,447",High                     ,397,82,68,0,68,82.93,51,0,51,62.2,48,58.54,9,1,0,0,0.5,16.45,0,0,0,47.29,0,13.58,6.41,5.99,80.49,1.95,0
Redlands Unified,36,67843,"209,224,844","19,912.40","10,507",Unified                  ,1866,1504,1064,1,1065,70.81,749,2,751,49.93,709,47.14,64,11,9.2,494.22,48.13,150.18,70.25,0,0,281.33,0,104.65,39.6,17,303.61,39.7,1.88
Redondo Beach Unified,19,75341,"93,558,221","9,525.50","9,822",Unified                  ,713,280,253,1,254,90.71,220,1,221,78.93,215,76.79,22.68,2.5,11.1,234.7,46.29,153.94,36,0,0,125.99,0,47.12,19,7.9,120.92,22.61,0
Reef-Sunset Unified,16,73932,"31,130,697","2,533.80","12,286",Unified                  ,173,92,31,0,31,33.7,16,0,16,17.39,14,15.22,9.72,0,1,69.83,12.66,28.89,12,0,0,63.37,0,13.97,10,0,29.75,0.95,0
Rialto Unified,36,67850,"286,565,117","24,409.00","11,740",Unified                  ,2016,1712,692,0,692,40.42,327,0,327,19.1,276,16.12,47,11,10.9,606.73,87.47,157.95,81,0,0,351.51,0,140.12,64.7,19,347.29,65,0
Ripon Unified,39,68650,"28,583,426","3,077.40","9,288",Unified                  ,412,124,102,1,103,83.06,71,1,72,58.06,70,56.45,11.75,1,0,99.11,5.21,31.77,13.39,0,0,49.2,0,19.31,10.01,3,66.2,12.55,0
River Delta Joint Unified,34,67413,"21,499,369","1,809.60","11,881",Unified                  ,140,73,51,0,51,69.86,22,0,22,30.14,22,30.14,10.88,1,3.96,65.37,3,26.02,8.25,0,0,62.88,0,16.38,7.17,0.71,37.31,5.8,3.21
Riverbank Unified,50,75556,"31,757,050","2,266.80","14,010",Unified                  ,202,75,41,0,41,54.67,24,0,24,32,20,26.67,10,1,1.55,81.75,16.1,43.97,14.25,0,0,49.09,0,25.87,9.5,3.13,39.5,6.1,0
Riverdale Joint Unified,10,75408,"19,103,901","1,532.80","12,464",Unified                  ,159,69,37,0,37,53.62,17,0,17,24.64,14,20.29,13,1.33,2.4,43.5,3.67,12.87,5.25,0,0,28.6,0,8.7,4.33,1.87,30.26,0.8,0
Riverside Unified,33,67215,"479,771,376","39,111.10","12,267",Unified                  ,3313,1543,1088,0,1088,70.51,739,0,739,47.89,684,44.33,29.3,14,15.7,0,120.55,204.72,161.67,0,0,898.63,0,412.97,96.25,32.3,556.07,107.7,27.87
Rocklin Unified,31,75085,"109,473,336","11,406.80","9,597",Unified                  ,1123,629,576,1,577,91.73,478,1,479,76.15,472,75.04,27,7,4,337.02,15.04,143.34,44.33,0,0,193.14,0,74.82,33.93,9,212.06,40.78,2
Roseville Joint Union High,31,66928,"109,516,735","9,755.90","11,226",High                     ,2614,1377,1233,4,1237,89.83,979,4,983,71.39,958,69.57,21.75,3.5,0,0,10.83,48.68,0,0,0,157.4,0,47.51,19.3,27.95,449.7,28.47,0
Rowland Unified,19,73452,"153,565,208","13,052.70","11,765",Unified                  ,1212,546,406,1,407,74.54,313,1,314,57.51,293,53.66,61,8,4.5,328.12,30.79,216,58.75,0,0,365,0,89,42.98,12,183.43,148.96,1.2
Sacramento City Unified,34,67439,"486,432,070","38,392.80","12,670",Unified                  ,3159,1510,1028,1,1029,68.15,707,1,708,46.89,656,43.44,167.48,0,14.6,0,141.63,590.28,176.09,1,0,701.66,0,236.85,146.71,31.1,567.8,11.26,26.27
Saddleback Valley Unified,30,73635,"270,129,024","26,232.20","10,298",Unified                  ,2464,1084,984,6,990,91.33,842,6,848,78.23,826,76.2,63.38,12,6,582.03,43.13,277.19,78.97,0,0,323.7,0,134.15,54.5,15,390.72,77.86,7.49
Saint Helena Unified,28,66290,"30,602,450","1,199.70","25,508",Unified                  ,101,58,47,0,47,81.03,31,0,31,53.45,31,53.45,5,2,1,41.16,3.15,15,5.33,0,0,28.51,0,9.25,5,2,32.47,5.4,0.69
Salinas Union High,27,66159,"178,663,126","14,571.70","12,261",High                     ,2605,956,616,0,616,64.44,386,0,386,40.38,357,37.34,10.02,7.5,9.6,216.79,39.33,94.03,0,0.9,0,269.23,0,115.06,36,32.2,464.95,15.9,6.54
San Benito High,35,67538,"31,407,348","2,895.60","10,847",High                     ,761,278,214,0,214,76.98,156,0,156,56.12,144,51.8,10,2,0,0.07,4.68,28.38,0,0,0,59.34,0,15.88,7.85,6.7,110.62,6,0.79
San Bernardino City Unified,36,67876,"651,483,094","46,562.20","13,992",Unified                  ,3543,1260,697,0,697,55.32,355,0,355,28.17,327,25.95,250.75,94.52,74,0,304.5,507.43,187.28,0,0,0,0,335.18,202.16,49,591.93,136.59,49.95
San Diego Unified,37,68338,"1,271,515,430","99,104.20","12,830",Unified                  ,9665,4974,3723,3,3726,74.91,2671,2,2673,53.74,2580,51.87,680.73,50.5,86,0,190.94,0,533.83,1.67,0,0,0,753.32,342.08,89.25,0,554.06,56.83
San Dieguito Union High,37,68346,"135,445,928","12,463.80","10,867",High                     ,2174,1301,1216,27,1243,95.54,1101,27,1128,86.7,1120,86.09,40,3,6,160.3,9.1,58.84,0,0,0,198.01,0,58.98,26,20.4,352.99,33.6,3.33
San Francisco Unified,38,68478,"729,813,887","50,381.90","14,486",Unified                  ,4546,2956,2247,1,2248,76.05,1957,1,1958,66.24,1807,61.13,0,130.48,49.7,0,663.86,770.88,232.5,5.6,0,496.7,0,266.43,238.37,60.9,0,435.96,0
San Gabriel Unified,19,75291,"59,791,650","5,008.40","11,938",Unified                  ,970,364,316,0,316,86.81,274,0,274,75.27,261,71.7,19,4,5,124.45,24.45,109.83,18.2,0,0,96.02,0,35.8,40.52,13.5,145.08,20.5,22.49
San Jacinto Unified,33,67249,"113,369,388","9,462.20","11,981",Unified                  ,806,317,186,0,186,58.68,96,0,96,30.28,83,26.18,52.25,5,9,291.25,68.35,98.88,38.28,0,0,171.49,0,57.95,26,6,136.42,33.6,6.54
San Jose Unified,43,69666,"340,998,187","28,981.70","11,766",Unified                  ,2655,2228,1431,8,1439,64.59,991,8,999,44.84,952,42.73,125.85,11,41.35,776.41,162.55,199.71,101.62,0,0,549.27,0,158.33,87.15,29.3,464.7,85.4,15.3
San Juan Unified,34,67447,"431,015,576","37,512.70","11,490",Unified                  ,4342,1360,1146,5,1151,84.63,899,4,903,66.4,872,64.12,7,0,0,26,1,8.08,4,0,0,17.26,0,6.5,2.2,0,16.2,0,0
San Leandro Unified,1,61291,"96,694,614","8,436.10","11,462",Unified                  ,785,360,245,0,245,68.06,154,0,154,42.78,142,39.44,39.66,4,4,213.02,15,102.15,34.18,1,0,99.3,0,32.53,20,6,125,22.8,0
San Lorenzo Unified,1,61309,"120,682,601","9,938.50","12,143",Unified                  ,1023,471,327,0,327,69.43,249,0,249,52.87,224,47.56,27.44,3.5,7.45,266.74,21.7,141.09,45.18,0,0,149.7,0,48.53,27.4,9.05,183.85,29.1,4.27
San Lorenzo Valley Unified,44,69807,"24,760,063","2,191.40","11,299",Unified                  ,282,108,97,2,99,91.67,80,2,82,75.93,80,74.07,4,3,1,77.5,17.38,23.89,11.38,0,0,55.01,0,17.21,10.15,2,115.51,5.6,0
San Luis Coastal Unified,40,68809,"88,293,090","7,175.50","12,305",Unified                  ,591,311,276,1,277,89.07,252,1,253,81.35,241,77.49,25,4,7.1,205.37,7.8,130.16,29.67,0,0,134.46,0,42.68,24.4,5,109.71,29.3,1
San Marcos Unified,37,73791,"211,089,616","20,109.00","10,497",Unified                  ,1493,845,723,0,723,85.56,525,0,525,62.13,514,60.83,57.21,10,11,329.69,396.32,237.54,39.83,0,0,274.46,0,66.04,48.3,15,220.06,109.8,0
San Marino Unified,19,64964,"39,996,967","2,987.30","13,389",Unified                  ,305,183,174,4,178,97.27,172,4,176,96.17,174,95.08,12,2,2,81.28,1.4,58.54,9.92,0,0,51.9,0,13,7,6,55.35,6,0
San Mateo Union High,41,69047,"149,298,247","8,393.50","17,787",High                     ,2406,1415,1275,8,1283,90.67,1107,8,1115,78.8,1087,76.82,34.8,5,0,0,8.36,69.9,0,0.9,0,198.25,0,88.05,18.73,26.44,457.7,20.5,7
San Rafael City High,21,65466,"34,927,415","2,483.00","14,067",High                     ,608,284,233,0,233,82.04,171,0,171,60.21,169,59.51,9.06,1.5,0,0,0,11.88,0,0,0,26.59,0,17.01,6,5.8,116.04,0.5,3.16
San Ramon Valley Unified,7,61804,"328,841,411","31,428.30","10,463",Unified                  ,2601,1630,1550,23,1573,96.5,1435,23,1458,89.45,1438,88.22,64.5,5,13.8,783.69,33.96,381.47,99.93,0,0,377.59,0,131.51,85.3,25.48,450.51,83.2,5.32
Sanger Unified,10,62414,"115,196,125","10,132.90","11,369",Unified                  ,808,371,234,0,234,63.07,125,0,125,33.69,118,31.81,37.3,12,1,323,56.53,91.53,53.59,0.6,0,253.82,0,52.37,41.8,0,146.9,33.15,1
Santa Ana Unified,30,66670,"616,944,655","46,710.00","13,208",Unified                  ,4070,3384,1381,4,1385,40.93,862,4,866,25.59,759,22.43,61.47,12,23,0,295.23,505.54,163.73,0,0,903.25,0,225.62,108.37,38,676.7,149.65,0
Santa Barbara Unified,42,76786,"155,574,179","12,850.00","12,107",Unified                  ,1860,875,747,0,747,85.37,630,0,630,72,609,69.6,4.37,9,8.19,321.1,64.18,175.16,36.14,0,0,275.04,0,83.95,44.96,18.12,275.3,43.12,3.43
Santa Clara Unified,43,69674,"248,770,335","14,717.30","16,903",Unified                  ,1118,522,460,1,461,88.31,390,1,391,74.9,377,72.22,38.11,9,10.2,377.09,51.32,209.18,62.53,0,0,281.31,0,76,46,14,189.48,70.1,9.5
Santa Maria Joint Union High,42,69310,"95,402,725","7,378.50","12,930",High                     ,2010,474,331,0,331,69.83,227,0,227,47.89,199,41.98,23.19,5,0,0,17.48,81.09,0,0,0,174.92,0,62.5,13,22,327.59,7.4,1.83
Santa Monica-Malibu Unified,19,64980,"155,650,414","10,294.20","15,120",Unified                  ,902,530,427,0,427,80.57,339,0,339,63.96,330,62.26,28.8,6,7,285.07,53.06,262.24,39.58,0,0,263.62,0,51.1,30.8,17.2,179.62,50.44,6.5
Santa Paula Unified,56,76828,"66,140,006","5,105.10","12,956",Unified                  ,411,164,110,0,110,67.07,69,0,69,42.07,67,40.85,18.51,3,10,147,35.7,51.77,20.75,0,0,122.88,0,24.07,15,6.6,73.08,12,1.17
Santa Ynez Valley Union High,42,69328,"10,633,864",908,"11,712",High                     ,239,133,117,0,117,87.97,96,0,96,72.18,91,68.42,5,1,0,0,3,0,0,0,0,19,0,6,2,3,48.6,0,0
Scott Valley Unified,47,76455,"7,738,589",632,"12,245",Unified                  ,57,34,32,0,32,94.12,29,0,29,85.29,28,82.35,4.44,0.9,0.3,18.71,0,10.84,4.05,0,0,29.71,0,5.63,4.06,0.7,13.58,0,0
Scotts Valley Unified,44,75432,"24,612,553","2,333.40","10,548",Unified                  ,171,90,83,0,83,92.22,68,0,68,75.56,67,74.44,4.44,0.9,0.3,18.71,0,10.84,4.05,0,0,29.71,0,5.63,4.06,0.7,13.58,0,0
Selma Unified,10,62430,"76,327,679","6,139.50","12,432",Unified                  ,477,183,110,0,110,60.11,69,0,69,37.7,61,33.33,42.2,4,0,174.71,37.75,71.92,21.64,1,0,144.32,0,36.5,33.2,0,82.21,34.6,6.1
Sequoia Union High,41,69062,"143,976,167","8,205.70","17,546",High                     ,2461,1438,1238,1,1239,86.16,1057,1,1058,73.57,1032,71.77,44,8.6,0,0,46.76,142,0,0,0,164,0,69,25,29.1,508.15,26.3,2
