DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
Calistoga Joint Unified,28,66241,"14,762,640",821.4,"17,972",Unified                  ,50,26,15,0,15,57.69,10,0,10,38.46,9,34.62,1,1.84,0,24.98,6.13,14,4,0,0,17.51,0,4,4,1,15.56,1,0
Campbell Union High,43,69401,"99,615,719","7,589.20","13,126",High                     ,1912,1033,935,1,936,90.61,772,1,773,74.83,756,73.18,8.75,2,0,0.2,9.7,30,0,0,0,33,0,23,24.3,23.5,352.1,17.6,0.2
Capistrano Unified,30,66464,"471,585,268","45,844.10","10,287",Unified                  ,4606,2156,2028,8,2036,94.43,1691,7,1698,78.76,1671,77.5,95.7,10,6.5,0,35.97,445.36,139.71,0,0,777.57,0,204.87,105.62,4,695.79,143.9,14.88
Carlsbad Unified,37,73551,"110,042,716","10,888.90","10,106",Unified                  ,950,483,451,2,453,93.79,380,2,382,79.09,377,78.05,27.73,3,5,262.7,21.25,82.05,32.08,0,0,160.68,0,46.33,23.7,9,143.72,33,1.96
Carmel Unified,27,65987,"53,157,863","2,362.10","22,504",Unified                  ,213,30,29,1,30,100,27,1,28,93.33,28,93.33,13.63,2,4.2,80.25,21.5,46.68,10,0,0,76.39,0,17.45,7.75,4,55.65,5,0.4
Carpinteria Unified,42,69146,"29,489,369","2,092.30","14,094",Unified                  ,173,63,48,0,48,76.19,37,0,37,58.73,35,55.56,10.38,1,4,60.27,2.5,40.92,10.33,0,0,49.08,0,12.26,7,2.8,35.4,9,0
Caruthers Unified,10,75598,"16,839,657","1,388.30","12,130",Unified                  ,138,54,28,0,28,51.85,15,0,15,27.78,14,25.93,6,1,1,38.27,1.33,19.5,7,0,0,27.5,0,11,4.9,1.8,32.4,0,0
Castro Valley Unified,1,61150,"92,677,106","8,951.20","10,354",Unified                  ,775,461,425,0,425,92.19,360,0,360,78.09,352,76.36,36.13,4.4,5.85,217.63,37.36,92.6,30.82,0,0,99.49,0,39.37,21.77,8.1,130.33,22.3,2
Center Joint Unified,34,73973,"47,920,959","4,066.00","11,786",Unified                  ,322,81,69,0,69,85.19,62,0,62,76.54,54,66.67,17.81,3,2,111.76,12.37,64.91,15.25,0,0,99.65,0,21.38,12,3.61,67.51,12.71,0
Centinela Valley Union High,19,64352,"84,386,542","5,964.60","14,148",High                     ,1866,810,443,0,443,54.69,207,0,207,25.56,193,23.83,33.75,4,0,0,35.77,64,0,0,0,140.8,0,54.7,19.02,15.83,332.4,12.5,2.83
Central Unified,10,73965,"161,722,109","15,004.60","10,778",Unified                  ,1036,395,269,0,269,68.1,151,0,151,38.23,144,36.46,1,0,3.7,57.2,4,87.9,9,5.7,4.5,33,2.5,13.92,10.5,5,71.6,9.8,6.05
Central Union High,13,63115,"46,981,609","3,979.20","11,807",High                     ,924,304,236,0,236,77.63,153,0,153,50.33,143,47.04,13,2,0,0,7,29.25,0,0,0,93,0,25.5,7,15.8,187.03,2.39,0.67
Ceres Unified,50,71043,"144,409,508","12,971.00","11,133",Unified                  ,1038,434,257,0,257,59.22,119,0,119,27.42,109,25.12,59.94,8,8.4,373.18,33.5,212.04,62.56,0,0,367.7,0,122.44,42.93,15.05,185.89,70.53,1.67
Chaffey Joint Union High,36,67652,"264,390,996","22,743.00","11,625",High                     ,6014,3244,2381,4,2385,73.52,1655,3,1658,51.11,1563,48.18,74.38,13,0,0,18.91,172.3,0,0,0,345.83,0,168.09,41.06,55.38,964.09,28.67,15.38
Charter Oak Unified,19,64378,"51,054,738","4,613.10","11,067",Unified                  ,443,229,171,1,172,75.11,127,0,127,55.46,122,53.28,23.66,3,2,113.39,4.6,60.5,16.94,0,0,85.78,0,25.78,12.96,3.98,67.94,16.5,1
