District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
2,0.5,0,23.08,5,15.57,6.19,0,0,Mattole Unified,8.16,0,12.83,1.9,0,17.23,9.2,0
0,0,0,0,0,0,0,0,0,Eureka City Unified,0,0,0,0,0,0,0,0
5,1,1,59.05,3.05,35.51,10.2,0,0,Fortuna Elementary,37,0,7.13,5,0,0,6.46,0
14.94,2,2.95,144.26,18.25,49.67,21.67,0,0,Brawley Elementary,113.68,0,13,11,0,0,3,0
9,1,0,0,4,1,0,0,0,Brawley Union High,2,0,12,3,5,77.4,1,0
34,4.5,9,222.2,35,59.91,29,0,0,Calexico Unified,264.76,0,46.89,18,7,137.8,18.1,0
7.5,1,1,39.47,1,9.37,5.33,0,0,Calipatria Unified,30.82,0,8,3,2,22,1,0
13,2,0,0,7,29.25,0,0,0,Central Union High,93,0,25.5,7,15.8,187.03,2.39,0.67
24.5,2,1,215.5,17.5,69.49,33.5,0,0,El Centro Elementary,121.26,0,35.22,18,0,0,18,3
5,1,1,43.21,2,9.54,7.25,0,0,Heber Elementary,32.25,0,7.5,5,0,0,1,0
8.37,0.8,2,44.52,9.35,23.87,7.06,0,0,Holtville Unified,45.4,0,8.63,3.7,2.35,26.48,3.2,0
13.41,2,2,104.37,1,36.2,15.67,0,0,Imperial Unified,76.63,0,15.75,10,3,55.06,11.6,0
0,0,0,0,0,1.5,0,0,0,Magnolia Union Elementary,2.5,0,1,0.5,0,0,0,0
0,5,0,49,1,19.57,9,0,0,Mccabe Union Elementary,28.81,0,8,0,0,0,2,0
0,1,1,19,1,6.99,3,0,0,Meadows Union Elementary,11.84,0,3,1,0,0,0,0
0,0.5,0,3.25,0,1.5,0.75,0,0,Mulberry Elementary,1,0,1,0.5,0,0,0,0
11,1,0.5,26.52,5,13,4.2,0,0,San Pasqual Valley Unified,26.25,0,13.25,3,0.5,14.18,2,0.18
0,2,0,11,1,3.54,2,0,0,Seeley Union Elementary,14.49,0,3,0,0,0,1,0.06
0,0,0.5,17,0.5,4.5,2,0,0,Westmorland Union Elementary,13.5,0,4.5,1.5,0,0,0.5,0
2,0.4,0,8,0,1.5,1,0,0,Big Pine Unified,7.6,0,0,1,0,4.5,2,0
1.5,1,0,3.52,0,0.45,0.17,0,0,Death Valley Unified,3.3,0,0,1.1,0,2.28,1,0.03
2,0,0,9.1,0,5.41,1.5,0,0,Lone Pine Unified,10.37,0,2.5,1.4,0.6,4.4,0,0
2,0.5,0,2.75,1,1.54,0.5,0,0,Owens Valley Unified,3.76,0,0,0.5,0,3.15,0,0
0,0,0,7.5,0,3.03,1,0,0,Round Valley Joint Elementary,2.63,0,1,1,0,0,0,0.5
8,1,0.6,49.11,2.15,43.01,6.75,0,0,Bishop Unified,49.36,0,10.55,7,1,31.76,4,0
0,0,0,0,0,0,0,0,0,Arvin Union Elementary,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Bakersfield City Elementary,0,0,0,0,0,0,0,0
8.47,2,0,70,11.91,28.29,12,0,0,Beardsley Elementary,42.88,0,8.69,6,0,0,3,3.02
0,0,0,2.5,0,1,0.5,0,0,Belridge Elementary,1,0,1,1,0,0,0,0
0,0,0,0.86,0,0,0.14,0,0,Blake Elementary,0.25,0,0.5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Panama-Buena Vista Union Elementary,0,0,0,0,0,0,0,0
0,1,0,14.39,0,7,1.61,0,0,Buttonwillow Union Elementary,9.5,0,3,1,0,0,1,0
0,0,0,2.67,0,3.36,0.33,0,0,Caliente Union Elementary,1.75,0,1.35,1,0,0,0,0
40.25,8,0,266.22,35.63,66.96,33.67,0,0,Delano Union Elementary,148.72,0,54.19,25,0,0,29,0
16,3,0,0,5.59,43.38,0,0,0,Delano Joint Union High,59,0,42.5,11,12,184.92,5,3.17
0,0,0,8,2,1.07,1,0,0,Di Giorgio Elementary,3.27,0,1.41,1,0,0,0,0
4.7,0.5,1,44.64,6.63,14.7,6.2,0,0,Edison Elementary,24.2,0,4.2,2.5,0,0,5,0.17
0,0,0,7,0,3,1,0,0,Elk Hills Elementary,6,0,2,2,0,0,0,0
16,2,0,105.59,19,57,15.42,0,0,Fairfax Elementary,73,0,15,5,0,0,4.9,0
8,0,0,0,0,35.44,0,0,0,Fruitvale Elementary,58.27,0,11.5,0,0,0,0,0
0,0,0,8,0,2,1,0,0,General Shafter Elementary,5,0,2,1,0,0,2,0
75.68,3,2.6,345.31,29.5,141.9,53.33,0,0,Greenfield Union,184.16,0,50.08,21.6,0,0,30.9,1.67
153.73,24,0,0,88.64,364.75,0,0,0,Kern High,606.78,0,293.29,50.84,146.69,0,33.1,0.29
5.88,1.8,1,36.11,1.5,20.9,5.25,0,0,Kernville Union Elementary,33.26,0,4.2,2,0,0,2.99,0.14
0,0,0,11.5,0,4.96,2.5,0,0,Lakeside Union Elementary,11.68,0,5,2,0,0,0,0
18.38,2,0,95.05,18,54.19,16,0,0,Lamont Elementary,84,0,12.07,6.96,0,0,8,0
19.22,2,1.5,144.87,20.72,58.95,23.67,0,0,Richland Union Elementary,66.52,0,19.18,14,0,0,8.84,1
0,0,0,2.67,0,0,0.33,0,0,Linns Valley-Poso Flat Union,1,0,1,0,0,0,0,0
1,1,0,21.32,0,1,3.08,0,0,Lost Hills Union Elementary,27,0,3,0.95,0,0,1,0
0,0,0,1.29,0,0,0.16,0,0,Maple Elementary,0.99,0,0,0.55,0,0,0,0
