Name,URL
Parlier+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Parlier+Unified&ID2=0629910&details=
Pine+Ridge+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pine+Ridge+Elementary&ID2=0630390&details=
Raisin+City+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Raisin+City+Elementary&ID2=0631680&details=
Sanger+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Sanger+Unified&ID2=0635250&details=
Selma+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Selma+Unified&ID2=0636270&details=
Washington+Colony+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Washington+Colony+Elementary&ID2=0641460&details=
West+Park+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=West+Park+Elementary&ID2=0642060&details=
Westside+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Westside+Elementary&ID2=0642210&details=
Firebaugh-Las+Deltas+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Firebaugh-Las+Deltas+Unified&ID2=0613840&details=
Central+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Central+Unified&ID2=5000402&details=
Kerman+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kerman+Unified&ID2=0619490&details=
Mendota+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mendota+Unified&ID2=0600022&details=
Golden+Plains+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Golden+Plains+Unified&ID2=0691134&details=
Sierra+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Sierra+Unified&ID2=0611870&details=
Riverdale+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Riverdale+Joint+Unified&ID2=0600040&details=
Caruthers+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Caruthers+Unified&ID2=0600067&details=
Washington+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Washington+Unified&ID2=0641580&details=
Capay+Joint+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Capay+Joint+Union+Elementary&ID2=0607410&details=
Lake+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Lake+Elementary&ID2=0604080&details=
Plaza+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Plaza+Elementary&ID2=0630870&details=
Princeton+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Princeton+Joint+Unified&ID2=0631620&details=
Stony+Creek+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Stony+Creek+Joint+Unified&ID2=0638070&details=
Willows+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Willows+Unified&ID2=0642710&details=
Orland+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Orland+Joint+Unified&ID2=0600045&details=
Hamilton+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Hamilton+Unified&ID2=0601339&details=
Arcata+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Arcata+Elementary&ID2=0603000&details=
Northern+Humboldt+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Northern+Humboldt+Union+High&ID2=0603030&details=
Big+Lagoon+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Big+Lagoon+Union+Elementary&ID2=0604890&details=
Blue+Lake+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Blue+Lake+Union+Elementary&ID2=0605400&details=
Bridgeville+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Bridgeville+Elementary&ID2=0606000&details=
Cuddeback+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Cuddeback+Union+Elementary&ID2=0610230&details=
Cutten+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Cutten+Elementary&ID2=0610380&details=
Fieldbrook+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fieldbrook+Elementary&ID2=0613740&details=
Fortuna+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fortuna+Union+High&ID2=0614190&details=
Freshwater+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Freshwater+Elementary&ID2=0614520&details=
Garfield+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Garfield+Elementary&ID2=0614910&details=
Green+Point+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Green+Point+Elementary&ID2=0615990&details=
Hydesville+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Hydesville+Elementary&ID2=0618120&details=
Jacoby+Creek+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Jacoby+Creek+Elementary&ID2=0618660&details=
Klamath-Trinity+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Klamath-Trinity+Joint+Unified&ID2=0619950&details=
Kneeland+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Kneeland+Elementary&ID2=0619980&details=
Loleta+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Loleta+Union+Elementary&ID2=0622320&details=
Maple+Creek+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Maple+Creek+Elementary&ID2=0623730&details=
Mckinleyville+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mckinleyville+Union+Elementary&ID2=0624300&details=
Orick+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Orick+Elementary&ID2=0628830&details=
Pacific+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Pacific+Union+Elementary&ID2=0629430&details=
Peninsula+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/&details=
Rio+Dell+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Rio+Dell+Elementary&ID2=0632730&details=
Scotia+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Scotia+Union+Elementary&ID2=0636100&details=
South+Bay+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=South+Bay+Union+Elementary&ID2=0637350&details=
Southern+Humboldt+Joint+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Southern+Humboldt+Joint+Unified&ID2=0637590&details=
Trinidad+Union+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Trinidad+Union+Elementary&ID2=0639720&details=
Ferndale+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Ferndale+Unified&ID2=0600037&details=
Mattole+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Mattole+Unified&ID2=0600038&details=
Eureka+City+Unified,https://nces.ed.gov/ccd/districtsearch/&details=
Fortuna+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Fortuna+Elementary&ID2=0601420&details=
Brawley+Elementary,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Brawley+Elementary&ID2=0605790&details=
Brawley+Union+High,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Brawley+Union+High&ID2=0605820&details=
Calexico+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Calexico+Unified&ID2=0606900&details=
Calipatria+Unified,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=1&InstName=Calipatria+Unified&ID2=0606990&details=
